name, version, version_created, version_downloads, homepage, dependencies
beerdb, 1.2.2, 2017-08-31, 2438, https://github.com/beerkit/beer.db, beerdb-models | beerdb-note | datafile | fetcher | gli | sqlite3 | webservice
worlddb, 2.4.0, 2017-08-31, 2158, https://github.com/worlddb/world.db, datafile | fetcher | gli | sqlite3 | webservice | worlddb-models
beerdb-models, 1.2.0, 2017-08-27, 2479, https://github.com/beerkit/beer.db, worlddb-models
beerdb-note, 0.1.0, 2017-08-27, 2439, https://github.com/beerkit/beer.db, beerdb-models
props-activerecord, 0.2.0, 2017-08-16, 89360, https://github.com/rubylibs/props, activerecord | props
tagutils, 1.0.0, 2017-08-16, 4402, https://github.com/rubylibs/tagutils, activerecord | logutils | props | textutils
officetxt, 0.1.1, 2017-07-24, 2095, https://github.com/officetxt/officetxt, drjekyll | jekyll | jekyll-avatar | jekyll-import | jekyll-octopod | jekyll-planet | journaltxt | kramdown | mrhyde-tools | pluto | quik | rouge | slideshow | word-to-markdown
journaltxt, 1.0.1, 2017-07-21, 2353, https://github.com/journaltxt/journaltxt, 
texti, 0.0.1, 2017-07-15, 2083, https://github.com/texti/texti, 
json-next, 1.2.1, 2017-07-10, 12778, https://github.com/datatxt/json-next, 
props, 1.2.0, 2017-06-29, 161923, https://github.com/rubylibs/props, iniparser
feedtxt, 1.0.1, 2017-06-14, 2261, https://github.com/feedtxt/feedtxt, 
hyperdata, 0.0.1, 2017-06-11, 2168, https://github.com/feedhtml/hyperdata, 
drjekyll, 1.0.1, 2016-11-07, 2540, https://github.com/drjekyllthemes/drjekyll, fetcher | gli | logutils | props | rubyzip
sportdb-admin, 0.4.0, 2016-10-04, 2409, https://github.com/sportdb/sport.db.admin, 
octobook, 0.0.1, 2016-06-05, 3409, https://github.com/octobook/octobook, 
slideshow-service, 0.3.1, 2016-05-11, 2447, https://github.com/slideshow-s9/slideshow-service, liquid | sinatra | slideshow-models
slideshow-templates, 3.0.0, 2016-04-02, 3531, https://github.com/slideshow-s9/slideshow-templates, 
gutenberg, 2.0.1, 2016-03-17, 2582, https://github.com/rubylibs/gutenberg, 
textutils, 1.4.0, 2015-11-28, 177061, https://github.com/textkit/textutils, activesupport | logutils | props | rubyzip
fotos, 0.0.1, 2015-11-22, 2799, https://github.com/rubylibs/fotos, logutils
rsssf, 0.1.0, 2015-09-15, 2871, https://github.com/sportdb/rsssf, fetcher | logutils | textutils
mrhyde-tools, 0.1.1, 2015-08-30, 2933, https://github.com/mrhydescripts/mrhyde, drjekyll | logutils | quik | textutils
persondb-models, 0.5.0, 2015-07-22, 5662, https://github.com/persondb/person.db.models, worlddb-models
